Designator,Mid X,Mid Y,Rotation,Layer
C1,59.8,36.5,0.0,top
C10,14.8,47.7,270.0,top
C11,16.9,47.7,90.0,top
C12,-2.4,73.0,270.0,top
C13,-0.3,73.0,270.0,top
C14,1.8,73.0,270.0,top
C15,6.2,62.6,0.0,top
C16,11.505,65.625,90.0,top
C17,13.7,65.625,270.0,top
C18,15.9,65.625,90.0,top
C19,-6.7,22.65,270.0,top
C2,12.0,49.0,180.0,top
C20,-6.7,26.15,90.0,top
C21,2.9,23.6,0.0,top
C22,4.15,34.8,180.0,top
C3,12.0,46.9,180.0,top
C4,30.4,16.6,270.0,top
C5,51.2,51.3,90.0,top
C6,42.5,62.6,0.0,top
C7,49.3,62.6,180.0,top
C8,41.0,50.0,90.0,top
C9,6.3,103.35,315.0,top
D1,-6.11,99.38,180.0,top
D2,6.7,45.1,90.0,top
D3,-0.7,60.3,180.0,top
D4,5.7,21.7,270.0,top
D5,7.8,21.7,270.0,top
J1,58.5,60.49,0.0,top
J2,-2.5,53.93,270.0,top
J3,-4.8,68.8,0.0,top
J4,-8.9,27.375,270.0,top
J5,19.425,15.225,90.0,top
L1,10.0,55.8,270.0,top
Q1,12.79,22.9,90.0,top
Q2,12.8,30.3,270.0,top
R1,30.4,21.8,270.0,top
R10,-9.7,18.0,180.0,top
R11,11.8,26.6,90.0,top
R12,11.8,33.3,180.0,top
R13,11.9125,19.9,180.0,top
R14,-1.9125,64.8,0.0,top
R15,1.6125,64.8,180.0,top
R16,5.3875,64.8,180.0,top
R17,-3.9,23.4,0.0,top
R18,-3.9,25.4,180.0,top
R19,-9.8875,13.6,0.0,top
R2,53.7125,14.7,0.0,top
R20,-9.8,35.2,0.0,top
R21,13.8,26.6,270.0,top
R22,5.7,18.2,270.0,top
R23,7.8,18.2,90.0,top
R3,58.3875,14.5,180.0,top
R4,5.89,99.38,0.0,top
R5,55.3,36.5,180.0,top
R6,-1.2,67.6875,90.0,top
R7,9.4,65.6,90.0,top
R8,-9.8,30.8,180.0,top
R9,14.8125,68.4,180.0,top
SW1,-13.45,15.4,270.0,top
SW2,-13.45,33.4,270.0,top
U1,35.2,17.6,0.0,top
U2,52.5,25.5,270.0,top
U3,0.0,101.7,0.0,top
U4,45.9,58.0,0.0,top
U5,45.9,46.5,0.0,top
U6,14.5,41.05,270.0,top
U7,3.9,68.5,0.0,top
U8,3.79,29.94,270.0,top
